"Latitude";"Longitude";"Desc_Basica";"Desc_Complemento";"Distrito";"Data_ano";"Data_mes";"Data_hora";"Horas_p_Fechamento"
40.7187752755615;-73.9871465915879;"Structural";"Crane";"Manhattan";2016;"09";"12";NA
40.876476186774;-73.8478730864068;"Utility";"Water Main";"Bronx";2016;"09";"03";NA
40.7433853052918;-73.9939155623235;"Fire";"Explosion";"Manhattan";2016;"09";"20";NA
40.7434183914603;-74.0016311786438;"Structural";"Other";"Manhattan";2016;"09";"10";NA
40.7434183914603;-74.0016311786438;"Structural";"Other";"Manhattan";2016;"09";"10";NA
NA;NA;"Utility";"Power Outage";"Brooklyn";2016;"09";"23";NA
40.830086672764;-73.9000468719392;"Administration";"Planned Event";"Bronx";2016;"06";"14";338.2
NA;NA;"Utility";"Manhole";"Brooklyn";2015;"06";"05";0
40.8764594396736;-73.8635023007265;"HazMat";"High Carbon Monoxide";"Bronx";2015;"07";"18";1.12
40.7700194500903;-73.9612656932114;"HazMat";"High Carbon Monoxide";"Manhattan";2015;"07";"11";0.59
40.830086672764;-73.9000468719392;"Administration";"Planned Event";"Bronx";2016;"06";"14";NA
40.7144215406227;-74.0060763804198;"Fire";"1st Alarm";"Manhattan";2016;"12";"13";NA
40.7144215406227;-74.0060763804198;"Fire";"1st Alarm";"Manhattan";2016;"12";"13";NA
40.5997244071568;-73.9624261355569;"Structural";"Life Safety Violations";"Brooklyn";2016;"12";"12";NA
40.7144215406227;-74.0060763804198;"Fire";"1st Alarm";"Manhattan";2016;"12";"22";NA
40.8244241563508;-73.901446577197;"Utility";"Other";"Bronx";2016;"12";"23";NA
40.7144215406227;-74.0060763804198;"Fire";"1st Alarm";"Manhattan";2016;"12";"13";NA
40.7089313363599;-73.7769829539572;"HazMat";"Other";"Queens";2015;"09";"11";0.88
40.6224821346439;-74.0725363776509;"Utility";"Water Main";"Staten Island";2016;"12";"05";NA
40.7140036409564;-73.8299893315416;"Fire";"5th Alarm";"Queens";2016;"12";"18";NA
NA;NA;"Utility";"Water Main";"Queens";2016;"12";"05";NA
40.5997244071568;-73.9624261355569;"Structural";"Life Safety Violations";"Brooklyn";2016;"12";"12";NA
40.7108271155245;-74.0033797944307;"Utility";"Other";"Manhattan";2016;"08";"12";NA
40.7858785789446;-73.970703115019;"Structural";"Construction Accident";"Manhattan";2016;"09";"09";NA
40.6843171291476;-73.9842723559893;"Structural";"Falling Debris";"Brooklyn";2016;"08";"16";NA
40.7000933880241;-73.8075196250653;"HazMat";"Other";"Queens";2015;"10";"10";1.2
40.8737895175854;-73.9052603617956;"HazMat";"Other";"Bronx";2015;"10";"11";9.69
40.8516182986687;-73.9025231003361;"HazMat";"High Carbon Monoxide";"Bronx";2016;"01";"12";23
NA;NA;"Transportation";"Car";"Brooklyn";2016;"08";"05";NA
40.7144215406227;-74.0060763804198;"Fire";"1st Alarm";"Manhattan";2016;"12";"13";NA
40.68042720763;-73.9804912155165;"HazMat";"Other";"Brooklyn";2016;"01";"08";0.33
40.6298891252301;-73.9957056253431;"Fire";"2nd Alarm";"Brooklyn";2016;"05";"16";2.35
40.8099155925316;-73.9058942535162;"Utility";"Water Main";"Bronx";2016;"11";"13";NA
40.7144215406227;-74.0060763804198;"Fire";"2nd Alarm";"Manhattan";2016;"11";"04";NA
NA;NA;"Law Enforcement";"Other";"Brooklyn";2016;"10";"17";216.53
40.7144215406227;-74.0060763804198;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";583.29
NA;NA;"Utility";"Water Main";"Bronx";2016;"11";"20";NA
NA;NA;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";NA
NA;NA;"Transportation";"Train Elevated";"Brooklyn";2016;"10";"06";NA
NA;NA;"Fire";"3rd Alarm";"Brooklyn";2016;"11";"20";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
40.6602211159129;-73.9945785003966;"Utility";"Other";"Brooklyn";2016;"12";"15";NA
NA;NA;"Fire";"2nd Alarm";"Brooklyn";2016;"10";"01";4.6
40.8150928933235;-73.8863692326532;"Administration";"Meeting";"Bronx";2016;"12";"14";NA
NA;NA;"Law Enforcement";"Other";"Brooklyn";2016;"10";"17";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Fire";"3rd Alarm";"Brooklyn";2016;"11";"20";NA
NA;NA;"Administration";"Other";"Brooklyn";2016;"10";"20";NA
40.7803567512002;-73.9656327909966;"Fire";"6th Alarm";"Manhattan";2016;"10";"01";NA
NA;NA;"Law Enforcement";"Suspicious Package";"Queens";2016;"10";"15";1.26
NA;NA;"Law Enforcement";"Suspicious Package";"Queens";2016;"10";"09";0.9
NA;NA;"Structural";"Elevator";"Brooklyn";2016;"11";"10";1.17
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Law Enforcement";"Other";"Brooklyn";2016;"10";"17";NA
40.7803567512002;-73.9656327909966;"Fire";"6th Alarm";"Manhattan";2016;"10";"01";NA
NA;NA;"Fire";"Collapse";"Brooklyn";2016;"11";"11";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
40.7144215406227;-74.0060763804198;"Fire";"2nd Alarm";"Manhattan";2016;"12";"22";NA
NA;NA;"Rescue";"Other";"Brooklyn";2016;"12";"07";NA
40.830086672764;-73.9000468719392;"Administration";"Planned Event";"Bronx";2016;"06";"14";5181.06
40.7144215406227;-74.0060763804198;"Structural";"Crane";"Manhattan";2016;"11";"13";NA
40.7144215406227;-74.0060763804198;"Utility";"Water Service Line";"Manhattan";2016;"12";"12";NA
NA;NA;"Utility";"Water Main";"Brooklyn";2016;"10";"05";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Administration";"Planned Event";"Brooklyn";2016;"10";"15";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Utility";"Gas High Pressure";"Bronx";2016;"10";"10";NA
NA;NA;"Fire";"10-76 (Commercial High Rise Fire)";"Manhattan";2016;"10";"06";NA
NA;NA;"Fire";"1st Alarm";"Bronx";2012;"01";"17";1.5
40.8678205339593;-73.9207940599402;"Fire";"3rd Alarm";"Manhattan";2012;"01";"23";NA
40.6874826352599;-73.8303636466707;"Utility";"Manhole";"Queens";2016;"10";"04";NA
NA;NA;"Transportation";"Train Elevated";"Brooklyn";2012;"02";"17";2.02
NA;NA;"Transportation";"BQE Closure";"Brooklyn";2012;"03";"17";2.79
NA;NA;"Fire";"2nd Alarm";"Queens";2016;"10";"16";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Fire";"Sensitive Location";"Brooklyn";2012;"05";"21";NA
40.7144215406227;-74.0060763804198;"Utility";"Manhole";"Manhattan";2016;"11";"20";4.72
NA;NA;"Administration";"Other";"Brooklyn";2016;"10";"20";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
40.6653464905146;-73.9338091209489;"Structural";"Life Safety Violations";"Brooklyn";2016;"10";"22";NA
NA;NA;"Fire";"2nd Alarm";"Queens";2016;"10";"16";NA
40.6765726975213;-73.9443034910347;"Structural";"Street Collapse";"Brooklyn";2016;"09";"03";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
40.6899552913863;-73.8425443051312;"Fire";"3rd Alarm";"Queens";2016;"10";"00";3.98
40.7434183914603;-74.0016311786438;"Structural";"Other";"Manhattan";2016;"09";"10";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Fire";"3rd Alarm";"Brooklyn";2016;"11";"20";NA
40.6797446739735;-73.9869594250675;"Marine";"Injured Dolphin";"Brooklyn";2013;"01";"12";6.03
NA;NA;"Law Enforcement";"Haz Mat";"Brooklyn";2016;"09";"14";NA
NA;NA;"Structural";"Collapse";"Brooklyn";2016;"09";"14";NA
40.6765726975213;-73.9443034910347;"Structural";"Street Collapse";"Brooklyn";2016;"09";"03";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Aviation";"Passenger Aircraft";"Brooklyn";2016;"10";"19";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Administration";"Planned Event";"Brooklyn";2016;"10";"15";NA
40.7140036409564;-73.8299893315416;"Utility";"Water Main";"Queens";2016;"11";"16";9.64
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Utility";"Power Outage";"Staten Island";2013;"12";"16";3
40.6674897028886;-73.9942860003978;"Fire";"3rd Alarm";"New York";2016;"11";"00";10.32
NA;NA;"Fire";"1st Alarm";"Brooklyn";2016;"11";"11";0.61
NA;NA;"Marine";"Pleasure Craft Medium";"Queens";2014;"04";"17";0.92
40.7434183914603;-74.0016311786438;"Structural";"Other";"Manhattan";2016;"09";"10";NA
